Count,Internal Id,Short Name,Description,Platform,In Production,Execution pattern,Burstiness,Trigger types,Workflow Coordination,Is Latency Relevant?,Number of Distinct Functions,Data Volume (per workflow execution),Workflow Structure,Workflow Size,Cost/Performance Tradeoff,Function Runtime,Resource Bounds,Locality Requirements,Workflow Internal Parallelism,Programming Languages,Function Upgrade Frequency,Usage of External Services,Domain,Application Type,Motivation,Open Source,Source
74,93,High Troughput serverless,A programming model and middleware for high throughput serverless computing applications: Use Case: Massive Medical Image Analysis Service,AWS,No,On-demand,Yes,Cloud event,Event,Not important,2,< 1 GB,Bag of tasks,Medium (10-1000),Undefined,"Short (ms, s)",CPU,None,High,Unknown,Unknown,"Cloud API Gateway, Cloud Storage",Other: Medical,Batch Tasks,Scalability,https://github.com/grycap/scar/tree/master/examples,White Literature
75,94,Bioinformatics,Challenges and Opportunities of Amazon Serverless Lambda Services in Bioinformatics,AWS,No,On-demand,No,Cloud event,Event,Not important,2,< 1 MB,Bag of tasks,Medium (10-1000),Undefined,Long (min+),Unknown,None,High,Java,Unknown,Cloud Storage,Scientific computing,Batch Tasks,"NoOps, Scalability",No,White Literature
76,95,Costless,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,AWS,No,On-demand,Yes,Unknown,Workflow engine,For complete use case,5,< 10 MB,Loops/Conditional branches,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,None,Low,JavaScript,Unknown,Cloud Storage,WebServices,API,-,No,White Literature
77,96,Unsupervised K-Means,Implementation of Unsupervised k-Means Clustering Algorithm Within Amazon Web Services Lambda,AWS,No,On-demand,No,Manual,Unknown,For parts of use case,Unknown,< 1 MB,Unknown,Unknown,Unknown,Long (min+),CPU,None,Unknown,Java,Unknown,"Cloud Storage, Cloud Database, Cloud Authentication",Cross-Domain,Batch Tasks,-,No,White Literature
78,97,NN servering,Pay-Per-Request Deployment of Neural Network Models Using Serverless Architectures,AWS,No,High-volume On-demand,Yes,HTTP request,Not applicable,Not important,2,< 100 MB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,None,Not applicable,Python,Unknown,"Cloud API Gateway, Cloud Database",Cross-Domain,Batch Tasks,"Scalability, NoOps, Maintability, Cost",https://github.com/castorini/serverless-inference,White Literature
79,98,NASA,Serverless Computing: From Planet Mars to the Cloud,AWS,Unknown,High-volume On-demand,Yes,Cloud event,Not applicable,Not applicable,1,< 1 GB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,Unknown,Not applicable,C,Unknown,Cloud Storage,Scientific computing,Stream/async Processing,"Cost, Performance",No,White Literature
80,100,Mindmup,MIndmup case study,AWS,Yes,High-volume On-demand,Yes,HTTP request,Workflow engine,For complete use case,2,< 10 MB,Chain,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,None,No,Unknown,Unknown,Cloud Storage,WebServices,API,"Simplify Development, Maintainability, Cost",No,White Literature
81,101,Sequence comparison,Leveraging Serverless Computing to Improve Performance for Sequence Comparison,"AWS, Google",No,On-demand,Yes,Manual,Workflow engine,Not important,1,< 1 GB,Complex Workflow,Medium (10-1000),Performance-focused,"Short (ms, s)",CPU,None,Extreme,Python,Unknown,"Cloud Storage, Cloud Queue, Cloud VM, Cloud Pub/Sub",Scientific computing,Batch Tasks,"Cost, Performance",https://github.com/BioDepot/TaskPerform_AWSLambda,White Literature
82,102,Yubl,Yubl case study,AWS,Yes,High-volume On-demand,Yes,HTTP request,Unknown,For parts of use case,170+,Unknown,Unknown,Unknown,Undefined,Unknown,Unknown,None,Unknown,Unknown,Often,Unknown,WebServices,Unknown,"Cost, NoOps, Scalability, Simplify Development",No,White Literature
83,103,High Troughput serverless,A programming model and middleware for high throughput serverless computing applications: Use Case: Video Analysis Service,AWS,No,On-demand,Yes,Cloud event,Event,Not important,2,< 1 GB,Bag of tasks,Medium (10-1000),Undefined,"Short (ms, s)",CPU,None,Extreme,Unknown,Unknown,"Cloud API Gateway, Cloud Storage",Cross-Domain,Not applicable,Scalability,https://github.com/grycap/scar/tree/master/examples,White Literature
84,S1,Water Body Monitoring in NRT with S1 data,Processing of Sentinel 1 data using a serverless approach,Private Cloud,No,Scheduled,Yes,Cloud event,Event,For complete use case,3+,> 1 GB,Chain,Small (2-10),Performance-focused,Long (min+),I/O,Specific region,Low,"Python, Java",Rarely,"Cloud Storage, Cloud Database, Cloud Monitoring/Logging",Scientific computing,Not applicable,Simplify Development,No,Scientifc Usecase
85,S2,ProsEO,Multi Purpose Processing Platform for Earth Observation Missions,Private Cloud,Yes,On-demand,Yes,HTTP request,Workflow engine,Not important,16+,> 1 GB,Complex Workflow,Medium (10-1000),Cost-focused,Long (min+),I/O,Specific region,Low,"Python, Java, C++,C",Rarely,"Cloud Storage, Cloud Database",Scientific computing,Not applicable,Simplify Development,No - but will be open-sourced,Scientifc Usecase
86,S3,HPDA Terra Byte,Processing Infrastructure for Scientific Earth Observation,Private Cloud,No,"On-demand, Scheduled",Yes,"Cloud event, HTTP request",Workflow engine,For parts of use case,10+,> 1 GB,Complex Workflow,Small (2-10),Performance-focused,Long (min+),I/O,Specific region,Low,"
Python, Java, JavaScript, C++,C",Often,"Cloud Storage, Cloud Database, Cloud Pub/Sub",Scientific computing,Not applicable,Simplify Development,No,Scientifc Usecase
87,S4,TanDEM-L,Processing in the Exploitation Platform of the TanDEM-L Mission,Private Cloud,No,"On-demand, Scheduled",Yes,"Cloud event, HTTP request",Workflow engine,For parts of use case,15+,> 1 GB,Complex Workflow,Medium (10-1000),Performance-focused,Long (min+),I/O,Specific region,Low,"
Python, Java, C++",Rarely,"Cloud Storage, Cloud Database",Scientific computing,Not applicable,Simplify Development,No,Scientifc Usecase
88,S6,Global Urban Footprint,"Recognition of Settlement structures from Satellite imagery (Femtosecond X-Ray Experiments with free electron LASERs, amongst other moleculare imaging)",Private Cloud,Yes,On-demand,No,HTTP request,Workflow engine,Not important,10+,< 1 GB,Complex Workflow,Small (2-10),Cost-focused,Long (min+),I/O,None,Low,JavaScript,Rarely,"Cloud Storage, Cloud Database,Cloud Queue ",Scientific computing,Not applicable,"Cost, Simplify Development",No,Scientifc Usecase
89,S7,High Throughput Data Taking DESY,Online and Offline analysis for molecular imaging,Other,No,High-volume On-demand,Yes,Cloud event,Workflow engine,For parts of use case,2+,> 1 GB,Complex Workflow,Small (2-10),Performance-focused,"Short (ms, s)",I/O,Not applicable,Low,"Python, Go",Rarely,Cloud Pub/Sub,Scientific computing,Not applicable,-,No,Scientifc Usecase
